registered,registered_times,mobile_platform,user_index,company_id,channel_id,verified,carrier,bank_card,certifications,bid_apply_times,bid_apply,loan,loan_times,reject,reject_times,repayment,repayment_times,overdue,overdue_times,overdue_repayment,overdue_within_3_days_repayment,overdue_within_3_days_repayment_times,overdue_4_to_7_days_repayment,overdue_4_to_7_days_repayment_times,overdue_8_to_30_days_repayment,overdue_8_to_30_days_repayment_times
1,2019-04-29 08:10:08,0,16,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:13:15,0.0,0.0,2019-04-29 09:07:15,0.0,2019-04-29 08:14:07,0.0,2019-05-05 13:07:21,0.0,2019-05-06 09:07:15,0.0,0.0,2019-05-06 09:07:15,0.0,2019-05-11 09:07:15,0.0,2019-05-23 09:07:15
1,2019-04-29 08:28:15,0,17,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:31:42,1.0,1.0,2019-04-29 09:02:42,0.0,2019-04-29 08:33:25,0.0,2019-04-30 09:03:01,1.0,2019-05-06 09:02:42,1.0,0.0,2019-05-08 09:02:42,0.0,2019-05-12 09:02:42,0.0,2019-05-23 09:02:42
1,2019-04-29 08:42:26,0,18,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:48:34,1.0,0.0,2019-04-29 08:59:34,0.0,2019-04-29 08:49:30,0.0,2019-05-01 10:59:59,0.0,2019-05-06 08:59:34,0.0,0.0,2019-05-07 08:59:34,0.0,2019-05-12 08:59:34,0.0,2019-05-26 08:59:34
1,2019-04-29 14:17:35,0,19,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:21:00,1.0,0.0,2019-04-29 14:31:00,1.0,2019-04-29 14:21:44,0.0,2019-04-29 18:31:07,0.0,2019-05-06 14:31:00,0.0,0.0,2019-05-06 14:31:00,0.0,2019-05-11 14:31:00,0.0,2019-05-22 14:31:00
1,2019-04-29 12:10:49,0,20,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:11:16,1.0,1.0,2019-04-29 12:11:16,0.0,2019-04-29 12:12:40,0.0,2019-05-04 15:11:38,1.0,2019-05-06 12:11:16,1.0,0.0,2019-05-07 12:11:16,1.0,2019-05-10 12:11:16,0.0,2019-05-17 12:11:16
1,2019-04-29 12:23:19,0,21,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:30:33,0.0,0.0,2019-04-29 13:20:33,0.0,2019-04-29 12:32:29,0.0,2019-04-29 15:20:37,0.0,2019-05-06 13:20:33,0.0,0.0,2019-05-08 13:20:33,0.0,2019-05-10 13:20:33,0.0,2019-06-04 13:20:33
1,2019-04-29 09:06:36,0,22,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:16:03,1.0,0.0,2019-04-29 10:10:03,0.0,2019-04-29 09:17:38,0.0,2019-04-30 12:10:26,0.0,2019-05-06 10:10:03,0.0,0.0,2019-05-06 10:10:03,0.0,2019-05-13 10:10:03,0.0,2019-06-03 10:10:03
1,2019-04-29 08:05:59,0,23,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:06:13,1.0,1.0,2019-04-29 08:18:13,0.0,2019-04-29 08:06:39,1.0,2019-05-01 10:18:24,0.0,2019-05-06 08:18:13,0.0,0.0,2019-05-08 08:18:13,0.0,2019-05-12 08:18:13,0.0,2019-05-21 08:18:13
1,2019-04-29 10:23:20,0,24,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:24:23,1.0,1.0,2019-04-29 10:58:23,0.0,2019-04-29 10:26:18,0.0,2019-04-30 13:58:48,1.0,2019-05-06 10:58:23,0.0,0.0,2019-05-06 10:58:23,0.0,2019-05-11 10:58:23,0.0,2019-05-25 10:58:23
1,2019-04-29 14:46:19,0,25,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:55:19,1.0,0.0,2019-04-29 15:21:19,1.0,2019-04-29 14:55:31,0.0,2019-05-04 16:21:19,0.0,2019-05-06 15:21:19,0.0,0.0,2019-05-07 15:21:19,0.0,2019-05-12 15:21:19,0.0,2019-05-25 15:21:19
1,2019-04-29 14:26:07,0,26,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:29:28,0.0,0.0,2019-04-29 14:49:28,0.0,2019-04-29 14:29:41,0.0,2019-05-05 16:49:33,0.0,2019-05-06 14:49:28,0.0,0.0,2019-05-08 14:49:28,0.0,2019-05-10 14:49:28,0.0,2019-05-25 14:49:28
1,2019-04-29 10:47:32,0,27,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:50:44,1.0,0.0,2019-04-29 11:36:44,1.0,2019-04-29 10:51:07,0.0,2019-04-29 11:36:45,0.0,2019-05-06 11:36:44,0.0,0.0,2019-05-06 11:36:44,0.0,2019-05-10 11:36:44,0.0,2019-05-30 11:36:44
1,2019-04-29 12:37:10,0,28,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:38:39,1.0,0.0,2019-04-29 13:00:39,1.0,2019-04-29 12:39:17,0.0,2019-05-03 15:01:06,0.0,2019-05-06 13:00:39,0.0,0.0,2019-05-07 13:00:39,0.0,2019-05-12 13:00:39,0.0,2019-06-04 13:00:39
1,2019-04-29 14:49:38,0,29,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:53:04,1.0,0.0,2019-04-29 15:03:04,1.0,2019-04-29 14:53:10,0.0,2019-05-05 17:03:29,0.0,2019-05-06 15:03:04,0.0,0.0,2019-05-06 15:03:04,0.0,2019-05-12 15:03:04,0.0,2019-05-20 15:03:04
1,2019-04-29 13:09:19,0,30,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:15:37,0.0,0.0,2019-04-29 13:35:37,0.0,2019-04-29 13:15:45,0.0,2019-05-01 14:35:43,0.0,2019-05-06 13:35:37,0.0,0.0,2019-05-07 13:35:37,0.0,2019-05-10 13:35:37,0.0,2019-05-29 13:35:37
1,2019-04-29 11:36:19,0,31,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:40:24,1.0,0.0,2019-04-29 12:20:24,0.0,2019-04-29 11:41:38,0.0,2019-05-03 13:20:24,0.0,2019-05-06 12:20:24,0.0,0.0,2019-05-08 12:20:24,0.0,2019-05-13 12:20:24,0.0,2019-05-18 12:20:24
1,2019-04-29 08:09:18,0,32,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:17:21,1.0,0.0,2019-04-29 08:40:21,1.0,2019-04-29 08:18:06,0.0,2019-05-04 11:40:26,0.0,2019-05-06 08:40:21,0.0,0.0,2019-05-07 08:40:21,0.0,2019-05-13 08:40:21,0.0,2019-05-18 08:40:21
1,2019-04-29 11:12:37,0,33,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:12:47,1.0,1.0,2019-04-29 11:59:47,0.0,2019-04-29 11:14:10,0.0,2019-05-04 13:59:48,1.0,2019-05-06 11:59:47,1.0,1.0,2019-05-06 11:59:47,0.0,2019-05-11 11:59:47,0.0,2019-05-28 11:59:47
1,2019-04-29 11:00:27,0,34,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:05:55,1.0,0.0,2019-04-29 11:07:55,1.0,2019-04-29 11:06:01,0.0,2019-05-03 15:08:00,0.0,2019-05-06 11:07:55,0.0,0.0,2019-05-08 11:07:55,0.0,2019-05-12 11:07:55,0.0,2019-06-03 11:07:55
1,2019-04-29 08:58:41,0,35,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:05:03,1.0,1.0,2019-04-29 09:11:03,0.0,2019-04-29 09:05:56,0.0,2019-04-29 11:11:10,1.0,2019-05-06 09:11:03,1.0,0.0,2019-05-08 09:11:03,1.0,2019-05-10 09:11:03,0.0,2019-05-29 09:11:03
1,2019-04-29 09:55:34,0,36,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:02:36,0.0,0.0,2019-04-29 10:17:36,0.0,2019-04-29 10:02:47,0.0,2019-05-02 10:18:02,0.0,2019-05-06 10:17:36,0.0,0.0,2019-05-07 10:17:36,0.0,2019-05-10 10:17:36,0.0,2019-05-23 10:17:36
1,2019-04-29 11:05:16,0,37,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:07:17,1.0,1.0,2019-04-29 11:10:17,0.0,2019-04-29 11:08:27,0.0,2019-04-30 13:10:23,1.0,2019-05-06 11:10:17,1.0,1.0,2019-05-06 11:10:17,0.0,2019-05-13 11:10:17,0.0,2019-05-15 11:10:17
1,2019-04-29 10:05:49,0,38,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:07:50,1.0,0.0,2019-04-29 10:57:50,1.0,2019-04-29 10:09:04,0.0,2019-05-02 10:58:12,0.0,2019-05-06 10:57:50,0.0,0.0,2019-05-06 10:57:50,0.0,2019-05-12 10:57:50,0.0,2019-05-26 10:57:50
1,2019-04-29 13:28:15,0,39,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:33:17,0.0,0.0,2019-04-29 14:27:17,0.0,2019-04-29 13:34:08,0.0,2019-04-30 14:27:38,0.0,2019-05-06 14:27:17,0.0,0.0,2019-05-07 14:27:17,0.0,2019-05-12 14:27:17,0.0,2019-06-04 14:27:17
1,2019-04-29 08:32:04,0,40,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:33:28,1.0,1.0,2019-04-29 08:48:28,0.0,2019-04-29 08:33:41,1.0,2019-05-04 08:48:41,0.0,2019-05-06 08:48:28,0.0,0.0,2019-05-06 08:48:28,0.0,2019-05-11 08:48:28,0.0,2019-05-30 08:48:28
1,2019-04-29 12:06:32,0,41,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:09:40,1.0,0.0,2019-04-29 12:33:40,0.0,2019-04-29 12:10:40,0.0,2019-05-04 14:34:02,0.0,2019-05-06 12:33:40,0.0,0.0,2019-05-06 12:33:40,0.0,2019-05-10 12:33:40,0.0,2019-05-26 12:33:40
1,2019-04-29 08:01:57,0,42,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:09:07,1.0,0.0,2019-04-29 08:35:07,1.0,2019-04-29 08:09:24,0.0,2019-05-04 11:35:30,0.0,2019-05-06 08:35:07,0.0,0.0,2019-05-07 08:35:07,0.0,2019-05-11 08:35:07,0.0,2019-05-24 08:35:07
1,2019-04-29 09:24:33,0,43,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:25:02,1.0,0.0,2019-04-29 10:12:02,0.0,2019-04-29 09:25:39,0.0,2019-04-29 11:12:17,0.0,2019-05-06 10:12:02,0.0,0.0,2019-05-06 10:12:02,0.0,2019-05-11 10:12:02,0.0,2019-06-01 10:12:02
1,2019-04-29 14:46:21,0,44,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:53:27,0.0,0.0,2019-04-29 15:32:27,0.0,2019-04-29 14:54:14,0.0,2019-05-02 15:32:36,0.0,2019-05-06 15:32:27,0.0,0.0,2019-05-08 15:32:27,0.0,2019-05-13 15:32:27,0.0,2019-06-03 15:32:27
1,2019-04-29 11:20:18,0,45,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:27:35,1.0,0.0,2019-04-29 12:07:35,1.0,2019-04-29 11:27:52,0.0,2019-05-02 13:07:54,0.0,2019-05-06 12:07:35,0.0,0.0,2019-05-06 12:07:35,0.0,2019-05-13 12:07:35,0.0,2019-05-15 12:07:35
1,2019-04-29 10:50:37,0,46,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:56:59,1.0,1.0,2019-04-29 11:19:59,0.0,2019-04-29 10:57:50,0.0,2019-05-05 15:20:02,1.0,2019-05-06 11:19:59,1.0,0.0,2019-05-07 11:19:59,0.0,2019-05-10 11:19:59,1.0,2019-05-21 11:19:59
1,2019-04-29 09:44:37,0,47,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:48:37,1.0,1.0,2019-04-29 10:30:37,0.0,2019-04-29 09:50:12,0.0,2019-05-05 10:30:53,1.0,2019-05-06 10:30:37,0.0,0.0,2019-05-06 10:30:37,0.0,2019-05-13 10:30:37,0.0,2019-05-15 10:30:37
1,2019-04-29 10:55:47,0,48,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:58:52,1.0,1.0,2019-04-29 11:41:52,0.0,2019-04-29 10:59:45,0.0,2019-05-03 14:42:11,1.0,2019-05-06 11:41:52,1.0,0.0,2019-05-07 11:41:52,1.0,2019-05-12 11:41:52,0.0,2019-06-01 11:41:52
1,2019-04-29 12:59:14,0,49,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:08:39,1.0,0.0,2019-04-29 13:50:39,1.0,2019-04-29 13:09:37,0.0,2019-05-01 16:51:00,0.0,2019-05-06 13:50:39,0.0,0.0,2019-05-06 13:50:39,0.0,2019-05-13 13:50:39,0.0,2019-05-20 13:50:39
1,2019-04-29 10:43:56,0,50,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:50:59,1.0,1.0,2019-04-29 11:34:59,0.0,2019-04-29 10:52:15,0.0,2019-05-01 14:35:14,1.0,2019-05-06 11:34:59,0.0,0.0,2019-05-08 11:34:59,0.0,2019-05-11 11:34:59,0.0,2019-05-29 11:34:59
1,2019-04-29 08:31:16,0,51,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:38:41,1.0,0.0,2019-04-29 09:13:41,1.0,2019-04-29 08:40:05,0.0,2019-05-02 13:13:46,0.0,2019-05-06 09:13:41,0.0,0.0,2019-05-07 09:13:41,0.0,2019-05-13 09:13:41,0.0,2019-05-15 09:13:41
1,2019-04-29 10:59:44,0,52,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:03:07,1.0,0.0,2019-04-29 11:34:07,1.0,2019-04-29 11:03:19,0.0,2019-05-01 11:34:10,0.0,2019-05-06 11:34:07,0.0,0.0,2019-05-07 11:34:07,0.0,2019-05-11 11:34:07,0.0,2019-05-21 11:34:07
1,2019-04-29 08:03:40,0,53,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:11:07,1.0,0.0,2019-04-29 08:53:07,1.0,2019-04-29 08:12:10,0.0,2019-05-02 10:53:32,0.0,2019-05-06 08:53:07,0.0,0.0,2019-05-07 08:53:07,0.0,2019-05-11 08:53:07,0.0,2019-05-18 08:53:07
1,2019-04-29 08:18:09,0,54,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:23:20,1.0,0.0,2019-04-29 09:13:20,1.0,2019-04-29 08:24:46,0.0,2019-05-01 12:13:46,0.0,2019-05-06 09:13:20,0.0,0.0,2019-05-08 09:13:20,0.0,2019-05-12 09:13:20,0.0,2019-05-31 09:13:20
1,2019-04-29 12:33:58,0,55,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:38:24,0.0,0.0,2019-04-29 12:56:24,0.0,2019-04-29 12:39:49,0.0,2019-05-02 13:56:24,0.0,2019-05-06 12:56:24,0.0,0.0,2019-05-06 12:56:24,0.0,2019-05-13 12:56:24,0.0,2019-05-22 12:56:24
1,2019-04-29 08:19:45,0,56,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:24:46,1.0,1.0,2019-04-29 08:39:46,0.0,2019-04-29 08:26:32,0.0,2019-04-30 11:39:49,1.0,2019-05-06 08:39:46,1.0,0.0,2019-05-08 08:39:46,1.0,2019-05-11 08:39:46,0.0,2019-05-21 08:39:46
1,2019-04-29 13:32:14,0,57,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:38:36,1.0,0.0,2019-04-29 14:05:36,1.0,2019-04-29 13:39:48,0.0,2019-05-01 16:06:03,0.0,2019-05-06 14:05:36,0.0,0.0,2019-05-07 14:05:36,0.0,2019-05-10 14:05:36,0.0,2019-06-01 14:05:36
1,2019-04-29 12:19:53,0,58,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:19:53,1.0,0.0,2019-04-29 12:47:53,1.0,2019-04-29 12:21:13,0.0,2019-04-30 16:47:56,0.0,2019-05-06 12:47:53,0.0,0.0,2019-05-08 12:47:53,0.0,2019-05-11 12:47:53,0.0,2019-06-01 12:47:53
1,2019-04-29 09:59:31,0,59,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:04:55,1.0,0.0,2019-04-29 10:23:55,0.0,2019-04-29 10:05:16,0.0,2019-04-30 10:24:05,0.0,2019-05-06 10:23:55,0.0,0.0,2019-05-06 10:23:55,0.0,2019-05-13 10:23:55,0.0,2019-06-01 10:23:55
1,2019-04-29 10:28:24,0,60,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:34:39,1.0,0.0,2019-04-29 10:39:39,1.0,2019-04-29 10:35:01,0.0,2019-04-29 13:39:49,0.0,2019-05-06 10:39:39,0.0,0.0,2019-05-06 10:39:39,0.0,2019-05-11 10:39:39,0.0,2019-05-18 10:39:39
1,2019-04-29 09:51:18,0,61,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:58:36,1.0,0.0,2019-04-29 10:51:36,1.0,2019-04-29 09:59:39,0.0,2019-05-04 14:51:38,0.0,2019-05-06 10:51:36,0.0,0.0,2019-05-08 10:51:36,0.0,2019-05-11 10:51:36,0.0,2019-05-23 10:51:36
1,2019-04-29 08:20:53,0,62,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:21:03,1.0,0.0,2019-04-29 08:32:03,1.0,2019-04-29 08:21:03,0.0,2019-05-03 09:32:17,0.0,2019-05-06 08:32:03,0.0,0.0,2019-05-07 08:32:03,0.0,2019-05-12 08:32:03,0.0,2019-05-22 08:32:03
1,2019-04-29 14:56:48,0,63,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:58:05,1.0,1.0,2019-04-29 14:59:05,0.0,2019-04-29 14:59:21,0.0,2019-04-30 16:59:33,1.0,2019-05-06 14:59:05,1.0,0.0,2019-05-08 14:59:05,0.0,2019-05-11 14:59:05,0.0,2019-06-01 14:59:05
1,2019-04-29 09:09:47,0,64,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:10:53,1.0,0.0,2019-04-29 09:15:53,0.0,2019-04-29 09:11:58,0.0,2019-05-02 13:16:01,0.0,2019-05-06 09:15:53,0.0,0.0,2019-05-06 09:15:53,0.0,2019-05-10 09:15:53,0.0,2019-05-31 09:15:53
1,2019-04-29 11:45:19,0,65,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:53:44,1.0,0.0,2019-04-29 12:00:44,1.0,2019-04-29 11:53:54,0.0,2019-05-02 12:00:47,0.0,2019-05-06 12:00:44,0.0,0.0,2019-05-07 12:00:44,0.0,2019-05-13 12:00:44,0.0,2019-05-29 12:00:44
1,2019-04-29 14:02:41,0,66,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:07:05,1.0,1.0,2019-04-29 14:26:05,0.0,2019-04-29 14:08:26,1.0,2019-04-29 15:26:18,0.0,2019-05-06 14:26:05,0.0,0.0,2019-05-08 14:26:05,0.0,2019-05-13 14:26:05,0.0,2019-05-28 14:26:05
1,2019-04-29 10:09:13,0,67,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:15:30,1.0,0.0,2019-04-29 11:02:30,1.0,2019-04-29 10:15:47,0.0,2019-05-02 13:02:40,0.0,2019-05-06 11:02:30,0.0,0.0,2019-05-07 11:02:30,0.0,2019-05-13 11:02:30,0.0,2019-06-02 11:02:30
1,2019-04-29 13:14:29,0,68,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:16:49,1.0,0.0,2019-04-29 13:54:49,1.0,2019-04-29 13:17:14,0.0,2019-05-03 17:55:01,0.0,2019-05-06 13:54:49,0.0,0.0,2019-05-08 13:54:49,0.0,2019-05-10 13:54:49,0.0,2019-05-27 13:54:49
1,2019-04-29 14:01:14,0,69,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:06:19,1.0,0.0,2019-04-29 14:40:19,0.0,2019-04-29 14:07:08,0.0,2019-05-02 17:40:29,0.0,2019-05-06 14:40:19,0.0,0.0,2019-05-08 14:40:19,0.0,2019-05-13 14:40:19,0.0,2019-05-27 14:40:19
1,2019-04-29 10:57:45,0,70,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:01:14,0.0,0.0,2019-04-29 11:36:14,0.0,2019-04-29 11:01:36,0.0,2019-05-04 13:36:32,0.0,2019-05-06 11:36:14,0.0,0.0,2019-05-07 11:36:14,0.0,2019-05-13 11:36:14,0.0,2019-06-02 11:36:14
1,2019-04-29 13:53:23,0,71,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:58:52,1.0,0.0,2019-04-29 14:08:52,1.0,2019-04-29 14:00:10,0.0,2019-05-01 16:09:00,0.0,2019-05-06 14:08:52,0.0,0.0,2019-05-08 14:08:52,0.0,2019-05-13 14:08:52,0.0,2019-05-23 14:08:52
1,2019-04-29 08:14:16,0,72,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:23:31,1.0,0.0,2019-04-29 09:06:31,0.0,2019-04-29 08:23:57,0.0,2019-04-30 12:06:37,0.0,2019-05-06 09:06:31,0.0,0.0,2019-05-07 09:06:31,0.0,2019-05-11 09:06:31,0.0,2019-05-22 09:06:31
1,2019-04-29 13:23:39,0,73,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:24:07,1.0,0.0,2019-04-29 14:21:07,0.0,2019-04-29 13:24:07,0.0,2019-04-29 16:21:32,0.0,2019-05-06 14:21:07,0.0,0.0,2019-05-06 14:21:07,0.0,2019-05-10 14:21:07,0.0,2019-05-29 14:21:07
1,2019-04-29 14:44:03,0,74,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:47:19,1.0,1.0,2019-04-29 15:37:19,0.0,2019-04-29 14:48:52,0.0,2019-05-05 15:37:31,1.0,2019-05-06 15:37:19,0.0,0.0,2019-05-07 15:37:19,0.0,2019-05-11 15:37:19,0.0,2019-05-29 15:37:19
